"refNo","site","date","timeEST","pH","pHmetrohm","DIC","spCond","temp","ANC960","ANCMet","gageHt","hydroGraph","flowGageHt","precipCatch","fieldCode","notes","archived","uniqueID","waterYr","datetime","Ca","Mg","K","Na","TMAl","OMAl","Al_ICP","SO4","Cl","PO4","DOC","TDN","DON","SiO2","Mn","Fe","F","cationCharge","anionCharge","theoryCond","ionError","duplicate","sampleType","ionBalance","NO3_N","NH4_N"
10986,"HBK",2013-06-03,"12:40:00",6.16,NA,39,11,14.6,23.1,NA,NA,NA,NA,NA,"907",NA,NA,"HBK_20130603_1240",2013,"6/3/2013 12:40",0.8334,0.2393,0.2025,0.9284,0.0604,0.0457,0.1043,2.5912,0.6081,0.0015,3.8228,0.1148,0.1124,2.7192,0.001,0.0265,0.0983,114.3881,-113.8709,14.0764,0.0045,NA,"Routine",0.5172,0.00571518557404334,0.00201887633423252
11012,"HBK",2013-06-10,"11:45:00",6.31,NA,46,11.7,12.4,31.9,NA,NA,NA,NA,NA,NA,NA,NA,"HBK_20130610_1145",2013,"6/10/2013 11:45",0.9349,0.279,0.1717,0.8901,0.0337,0.0259,0.1063,2.8037,0.4637,0.0063,2.5985,0.0495,0.0974,5.6502,0.001,0.0166,0.0842,117.104,-117.3647,14.3372,-0.0022,NA,"Routine",-0.2607,0.00571518557404334,0.00201887633423252
11038,"HBK",2013-06-17,"10:30:00",6.4,NA,48,11.7,12.9,34.5,NA,NA,NA,NA,NA,NA,NA,NA,"HBK_20130617_1030",2013,"6/17/2013 10:30",0.897,0.2738,0.1897,0.9143,0.0337,0.0244,0.0913,2.9067,0.3833,0.0076,2.5601,0.1107,0.1053,5.7918,0.001,0.0145,0.0325,116.2011,-119.7754,14.3672,-0.0303,NA,"Routine",-3.5744,0.00571518557404334,0.00201887633423252
11059,"HBK",2013-06-24,"12:35:00",6.51,NA,65,13.6,17.8,44.8,NA,NA,NA,NA,NA,NA,NA,NA,"HBK_20130624_1235",2013,"6/24/2013 12:35",1.0026,0.3113,0.2702,1.0429,0.0196,0.0153,0.0544,3.0142,0.3672,0.0047,2.1299,0.109,0.0963,6.6502,0.0029,0.0151,0.0325,130.7523,-129.4294,15.6503,0.0102,NA,"Routine",1.3228,0.00571518557404334,0.00489189265602496
11088,"HBK",2013-07-01,"07:35:00",6.36,NA,48,12.7,15.6,31.1,NA,NA,NA,NA,NA,NA,NA,NA,"HBK_20130701_0735",2013,"7/1/2013 7:35",0.9987,0.3035,0.2176,1.0581,0.0408,0.0311,0.1302,2.4905,0.3354,0.0015,2.9346,0.1074,0.1024,6.0883,0.001,0.0277,0.0325,131.5254,-107.64,14.3495,0.1997,NA,"Routine",23.8854,0.00571518557404334,0.00201887633423252
11103,"HBK",2013-07-07,"11:20:00",6.38,NA,51,12.4,17.8,31,NA,NA,NA,NA,NA,NA,NA,NA,"HBK_20130707_1120",2013,"7/7/2013 11:20",0.9427,0.294,0.231,1.1201,0.0359,0.0179,0.1077,2.6871,0.3647,0.0015,2.7673,0.1145,0.098,6.5403,0.001,0.0242,0.0325,130.5743,-111.624,14.6075,0.1565,NA,"Routine",18.9503,0.00571518557404334,0.00419305084802139
11125,"HBK",2013-07-15,"11:40:00",6.51,NA,55,12.8,19,33.8,NA,NA,NA,NA,NA,NA,NA,NA,"HBK_20130715_1140",2013,"7/15/2013 11:40",0.9624,0.2861,0.3022,1.3834,0.0265,0.0235,0.0936,2.8904,0.3814,0.0052,2.5354,0.141,0.1122,6.8896,0.001,0.0233,0.0325,142.8723,-119.9616,15.8061,0.1743,NA,"Routine",22.9107,0.0285985175365173,0.00201887633423252
11135,"HBK",2013-07-22,"11:30:00",6.3,NA,62,14.4,17.1,46.7,NA,NA,NA,NA,NA,NA,NA,NA,"HBK_20130722_1130",2013,"7/22/2013 11:30",1.0336,0.301,0.2555,1.0943,0.0293,0.02,0.0809,2.7449,0.3512,0.0038,2.8066,0.1236,0.0854,7.0713,0.001,0.0269,0.0725,134.3874,-130.9707,15.8345,0.0258,NA,"Routine",3.4167,0.0394867366933904,0.00201887633423252
11154,"HBK",2013-07-29,"11:25:00",6.49,NA,57,12.7,17.9,38,NA,NA,NA,NA,NA,NA,NA,NA,"HBK_20130729_1125",2013,"7/29/2013 11:25",0.9512,0.2831,0.2231,0.883,0.0283,0.022,0.0821,2.625,0.3495,0.0015,2.9138,0.1033,0.0817,6.5083,0.001,0.0258,0.0696,118.4891,-118.6207,14.2407,-0.0011,NA,"Routine",-0.1316,0.0195174716836895,0.00201887633423252
11173,"HBK",2013-08-05,"12:05:00",6.69,NA,57,NA,15.1,41.5,NA,NA,NA,NA,NA,"969",NA,NA,"HBK_20130805_1205",2013,"8/5/2013 12:05",1.1132,0.3236,0.2297,1.1998,0.0218,0.0164,0.0851,2.6482,0.3305,0.0135,2.786,0.1266,0.0935,7.5471,0.001,0.0264,0.0681,143.227,-123.1949,15.708,0.1504,NA,"Routine",20.0321,0.027988596546402,0.00512483992535948
11207,"HBK",2013-08-12,"11:40:00",6.56,NA,70,13.6,15.5,48.2,NA,NA,NA,NA,NA,NA,NA,NA,"HBK_20130812_1140",2013,"8/12/2013 11:40",1.0465,0.3047,0.2709,1.2814,0.0307,0.02,0.0789,2.7807,0.3439,0.0033,2.6806,0.1603,0.1112,6.9507,0.001,0.0264,0.0893,143.7968,-132.7868,16.3748,0.0796,NA,"Routine",11.01,0.0457214845923467,0.00201887633423252
11208,"HBK",2013-08-12,"11:40:00",6.56,NA,70,13.6,15.5,48.2,NA,NA,NA,NA,NA,NA,NA,NA,"HBK_20130812_1140_Dup",2013,"8/12/2013 11:40",1.0539,0.3027,0.2701,1.2581,0.0302,0.0197,0.0897,2.6691,0.3404,0.0015,2.6565,0.1421,0.106,6.8617,0.001,0.0252,0.0856,142.9047,-129.404,16.0827,0.0992,"Dup","Routine",13.5007,0.0364371317428139,0.00201887633423252
11230,"HBK",2013-08-19,"12:55:00",6.6,NA,81,15.5,15.9,59.1,NA,NA,NA,NA,NA,NA,NA,NA,"HBK_20130819_1255",2013,"8/19/2013 12:55",1.0576,0.3524,0.3057,1.4292,0.0241,0.0165,0.0582,2.9288,0.3604,0.0015,2.2845,0.1564,0.094,7.6348,0.001,0.0202,0.0325,154.8355,-146.0651,17.7028,0.0583,NA,"Routine",8.7704,0.0595463603682935,0.00201887633423252
11250,"HBK",2013-08-26,"12:10:00",6.73,NA,112,18.8,15.5,82.8,NA,NA,NA,NA,NA,NA,NA,NA,"HBK_20130826_1210",2013,"8/26/2013 12:10",1.3814,0.4466,0.4152,1.7853,0.02,0.0121,0.0672,3.1965,0.4045,0.0015,2.0544,0.2292,0.0729,8.5729,0.001,0.0179,0.08,196.6627,-182.0407,22.0338,0.0772,NA,"Routine",14.6219,0.152096223201715,0.00419305084802139
11262,"HBK",2013-09-02,"08:50:00",6.55,NA,77,14.7,18,67.6,NA,NA,NA,NA,NA,NA,NA,NA,"HBK_20130902_0850",2013,"9/2/2013 8:50",1.3971,0.3801,0.4418,1.4878,0.0364,0.0312,0.1201,2.43,0.2958,0.0032,4.6169,0.1915,0.1304,7.4242,0.001,0.0499,0.0861,181.4886,-154.1062,19.2033,0.1632,NA,"Grab",27.3824,0.0584620563858663,0.00201887633423252
11278,"HBK",2013-09-03,"11:35:00",6.27,NA,42,13.4,17,38.2,NA,NA,NA,NA,NA,NA,NA,NA,"HBK_20130903_1135",2013,"9/3/2013 11:35",1.2457,0.3324,0.2751,1.2741,0.0747,0.0657,0.2348,2.599,0.3123,0.0047,6.5987,0.1916,0.1598,7.0924,0.0025,0.0971,0.0689,161.3189,-136.347,17.3749,0.1678,NA,"Routine",24.9719,0.0248938122632244,0.00691076899025748
11298,"HBK",2013-09-09,"09:05:00",6.73,NA,88,15.8,11.4,75,NA,NA,NA,NA,NA,NA,NA,NA,"HBK_20130909_0905",2013,"9/9/2013 9:05",1.4235,0.4286,0.3635,1.6663,0.0286,0.0177,0.0475,3.0121,0.3768,0.0061,2.4618,0.1185,0.0724,8.8977,0.001,0.0205,0.096,192.0766,-163.9091,20.5817,0.1583,NA,"Routine",28.1675,0.0373407183948365,0.00877434714493366
11325,"HBK",2013-09-16,"11:35:00",6.47,NA,52,11,12.4,48,NA,NA,NA,NA,NA,NA,NA,NA,"HBK_20130916_1135",2013,"9/16/2013 11:35",1.0418,0.3082,0.2312,1.0367,0.035,0.0281,0.1051,2.8163,0.3282,0.0015,3.4648,0.1177,0.0936,6.5555,0.001,0.0237,0.0325,132.7342,-134.9245,15.8716,-0.0164,NA,"Routine",-2.1903,0.0218442073126479,0.00201887633423252
11348,"HBK",2013-09-23,"11:30:00",6.55,NA,59,13.2,10.6,55.3,NA,NA,NA,NA,NA,NA,NA,NA,"HBK_20130923_1130",2013,"9/23/2013 11:30",1.0751,0.3336,0.2958,1.1235,0.0356,0.0296,0.1048,2.8302,0.3594,0.0015,3.4882,0.1064,0.1011,7.1891,0.0023,0.0353,0.0325,142.1607,-142.3595,16.7177,-0.0014,NA,"Routine",-0.1988,0.00571518557404334,0.005357787194694
11368,"HBK",2013-09-30,"11:00:00",6.69,NA,94,16.3,10.6,73.1,NA,NA,NA,NA,NA,NA,NA,NA,"HBK_20130930_1100",2013,"9/30/2013 11:00",1.2204,0.3853,0.3153,1.3211,0.0203,0.0154,0.0503,3.1411,0.3673,0.0015,2.4158,0.0495,0.071,8.1535,0.0021,0.0163,0.0657,160.7443,-161.4929,18.8161,-0.0046,NA,"Routine",-0.7486,0.00571518557404334,0.00201887633423252
11386,"HBK",2013-10-07,"09:20:00",6.66,NA,101,18,10.8,78.6,NA,NA,NA,NA,NA,"969",NA,NA,"HBK_20131007_0920",2013,"10/7/2013 9:20",1.2695,0.422,0.9431,1.6313,0.0303,0.0257,0.0891,3.1412,0.478,0.0034,3.4992,0.0495,0.0872,8.2741,0.0051,0.0317,0.0325,196.8925,-175.7195,21.7672,0.1136,NA,"Routine",21.173,0.00571518557404334,0.00201887633423252
11413,"HBK",2013-10-15,"10:05:00",6.61,NA,87,14.8,11.2,70.7,NA,NA,NA,NA,NA,NA,NA,NA,"HBK_20131015_1005",2013,"10/15/2013 10:05",1.178,0.3957,0.4741,1.536,0.0236,0.0171,0.0567,3.0646,0.4062,0.0039,2.6254,0.0495,0.0771,8.1016,0.0037,0.0205,0.068,173.7313,-159.8749,19.4377,0.0831,NA,"Routine",13.8564,0.00571518557404334,0.00807550533693009
