years,saltuse_metton
1992,946735.089479825
1993,1103109.7729523203
1994,1253673.1804282558
1995,1078001.6768675102
1996,1293911.4179120597
1997,1368029.159048656
1998,840075.4820567766
1999,1256285.1836894208
2000,1578740.5226078262
2001,1426611.8576213869
2002,1202155.067399953
2003,1679603.6739429182
2004,1672691.291989832
2005,1970601.1575028428
2006,1122788.6921279866
2007,1596142.109765402
2008,2153714.4207178825
2009,1448631.0646325669
2010,1332429.4451325466
2011,1192850.6439015255
2012,857754.8388744785
2013,1826477.3999248454
2014,1986582.2139137792
2015,1449484.4983141166
